Blog	older	mention	showing	country	albums	service	page	include	point	real	mentioned	perfect	should	moment	round	wonder	pretty	piece	actually	others	eric	thinking	turned	asked	powerful	ocean	seems	radio	hasn	theme	grimes	maybe	mark	creating	audience	dr	missing	those	via	cannot	fi	law	laughing	hot	continue	mso	saturday	board	similar	fell	forget	history	winter	successful	pop	explore	dream	les	isn	picked	men	various	least	fine	including	nor	small	limited	pictures	incredible	alone	younger	knows	nearly	previous	aware	falls	roots	evening	deal	film	somewhat	within	comes	double	worked	wild	started	perhaps	hurt	bands	slightly	green	range	theater	america	falling	king	parts	coffee	kicking	co	shake	death	thanks	several	german	hop	youtube	count	confident	loving	internet	someone	anyone	goal	punk	fiction	points	sent	cool	nick	return	gun	become	welcome	stage	society	pt	cities	brothers	further	face	fall	throughout	using	recording	among	lord	changing	giant	soon	eye	himself	cancer	continues	together	order	star	hat	sin	full	mom	useful	tune	hold	talk	edition	though	third	hook	regret	nd	god	tengo	pay	september	silver	child	eventually	entire	cast	twice	strange	weird	midnight	richard	difficult	eating	lead	accept	call	pre	lose	dum	cry	ride	industry	possible	imagine	broken	opens	gave	l	wolf	decade	wind	understand	otherwise	since	simply	tonight	original	golden	waste	strong	result	final	neighborhood	able	working	concert	why	recent	known	ultimately	media	formed	sam	words	terms	relationships	haven	its	human	break	happened	questions	la	excellent	describe	likes	everywhere	please	official	proud	seemed	guy	source	vision	cat	town	drunk	orange	straight	hair	scream	festival	truly	tell	string	missed	require	sunday	bass	played	business	driving	moore	hopefully	fit	second	easy	sleep	lovely	notice	indie	plan	title	couple	tree	listening	close	rise	easily	father	john	slow	cut	critical	stupid	bar	knowing	yet	approach	watching	effect	news	worth	guys	impossible	club	feels	plus	picture	prince	worse	carry	entirely	believe	learning	twenty	forever	running	question	deep	los	natural	miss	received	involved	changes	character	hate	challenge	system	door	stuff	use	extra	u	week	finally	awesome	set	personal	feature	nyc	shot	latin	production	inside	form	feet	without	sky	yourself	brand	clear	steps	h	enough	direction	chorus	damn	kid	ears	based	appearance	keys	psychedelic	acts	help	politics	brother	c	royal	name	dead	light	hits	towards	david	sons	indeed	dreams	moments	q	summer	present	wire	learn	current	beyond	notes	looked	saying	half	promise	nice	february	complete	exciting	youth	ready	london	fully	yes	create	fun	list	bowie	language	finding	grace	bill	featuring	wedding	game	school	version	taste	thoughts	tv	becomes	phase	win	faith	lost	p	font	listen	moon	shows	rhythm	photos	needed	yellow	kiss	problem	collective	jeff	quiet	such	traditional	often	closing	bloody	doesn	warm	streets	video	thought	ask	nobody	making	both	dude	included	sometimes	cold	general	sings	dawn	class	usa	era	wine	realized	latest	trying	lake	leaving	ok	certain	candy	vocals	secret	events	culture	group	super	left	river	mortal	fantastic	weeks	voice	andrew	car	nine	pure	mac	physical	features	low	holiday	silent	legendary	tales	drive	remember	background	em	learned	epic	children	smart	start	calls	side	cover	whatever	sister	line	interest	coming	less	team	material	ascii
b'\xce\x94\xce\xaf\xcf\x83\xce\xba\xce\xbf\xce\xb9 \xce\x9c\xce\xbf\xcf\x85\xcf\x83\xce\xb9\xce\xba\xce\xae\xcf\x82 \xcf\x83\xcf\x84\xce\xbf \xce\xa7\xcf\x81\xcf\x8c\xce\xbd\xce\xbf'	0	0	0	4	0	2	2	0	3	4	0	2	1	0	0	3	5	0	1	2	5	0	0	0	0	4	0	6	0	0	1	0	9	0	0	1	2	2	0	1	3	2	1	3	0	204	1	0	0	0	0	2	0	0	6	0	11	6	0	0	9	83	0	0	0	1	2	0	2	0	1	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	5	0	0	1	0	0	3	0	25	1	1	12	0	1	0	0	2	46	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	24	1	3	1	2	27	4	69	3	5	0	2	7	0	0	0	1	4	0	1	1	4	0	3	0	0	1	3	4	0	2	0	1	1	0	2	2	0	1	2	0	1	7	0	0	0	1	2	0	0	3	0	4	0	5	3	0	0	0	2	1	0	2	4	1	1	0	0	1	10	0	0	3	3	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	8	4	2	3	1	0	1	35	0	1	1	0	0	0	0	0	2	0	2	0	0	0	2	3	1	0	0	0	0	0	0	0	0	1	0	1	34	2	2	0	3	9	0	0	0	0	0	0	0	0	2	200	1	0	0	0	0	0	0	1	1	1	1	0	0	2	2	3	2	0	0	1	0	0	0	0	4	0	1	0	2	2	0	1	1	0	0	0	0	0	0	1	0	0	4	7	4	0	3	0	0	0	0	1	0	5	0	0	0	2	5	2	2	0	3	5	0	18	23	12	0	1	20	2	0	5	0	0	2	2	2	0	2	0	0	0	0	1	1	1	0	1	0	8	1	2	0	19	0	2	0	0	52	0	3	5	0	2	1	2	0	0	0	1	0	3	0	2	8	4	34	0	20	0	1	0	0	2	7	0	0	4	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	3	2	3	1	0	0	0	0	6	2	0	1	0	1	5	0	2	3	1	1	3	4	1	0	1	3	0	3	0	0	0	0	4	0	4	0	4	3	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	1	0	0	1	0
"DANCING IN CIRCLES"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Cherry Area	0	0	0	2	0	0	2	0	4	3	1	0	4	0	0	1	3	7	3	1	0	1	1	0	1	0	1	4	0	0	0	4	0	0	2	0	0	1	0	2	0	1	0	0	2	0	0	0	1	0	0	2	0	0	1	0	0	2	1	1	0	0	4	0	2	2	3	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	2	0	0	1	0	0	3	0	7	0	1	1	0	2	0	0	0	1	2	2	0	0	1	2	0	1	0	3	0	2	0	2	1	0	0	2	0	2	0	1	2	2	1	1	0	0	0	0	2	0	0	1	1	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	2	0	2	0	1	0	0	2	0	2	1	0	0	0	0	0	1	1	3	1	1	2	0	0	0	0	1	0	0	3	0	3	0	1	3	0	2	0	0	0	3	2	0	2	9	0	2	0	0	0	1	0	0	1	0	0	0	1	0	1	1	2	1	0	0	1	0	0	0	0	2	0	0	0	1	1	2	1	0	0	0	0	5	1	1	1	0	0	1	3	2	0	1	1	1	1	3	1	0	1	1	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	0	1	0	0	0	0	2	2	1	0	0	1	0	0	0	0	1	0	1	0	0	0	2	1	2	0	3	0	0	0	0	2	1	2	0	0	0	0	2	0	0	0	2	3	1	3	0	6	1	2	1	1	4	0	1	0	0	2	0	1	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	2	1	1	1	0	4	2	0	0	2	0	0	1	1	1	0	1	1	0	0	0	0	0	2	0	1	0	0	2	0	3	0	1	2	0	0	0	2	1	6	0	0	4	0	1	0	0	2	0	0	2	3	0	6	1	0	1	0	3	0	1	0	0	0	1	0	0	1	1	0	0	0	0	2	0	2	2	0	0	0	2	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	2	0	0	0	0	3	0	2	1	2	2	0	0	0	1	0	3	0
THE HUB	0	0	0	0	0	0	0	0	3	0	0	3	2	1	4	0	0	0	1	1	0	0	0	0	0	0	0	28	0	2	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	26	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	8	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	2	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	9	0	0	3	0	0	1	2	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	8	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	2	2
MTJR RANTS & RAVES ON MUSIC	1	1	0	20	41	1	3	14	13	11	1	21	13	9	3	4	3	9	3	10	3	4	8	5	6	4	6	17	0	58	5	7	13	9	4	0	4	25	8	1	6	4	0	14	6	378	1	0	2	1	3	14	1	6	80	5	24	1	3	2	11	23	2	6	28	5	14	12	0	4	7	4	8	8	21	2	5	5	4	6	18	2	16	16	10	3	9	11	5	2	35	2	8	14	1	8	9	1	10	1	2	15	3	23	4	11	4	7	0	1	2	0	2	5	4	3	43	1	4	2	5	6	20	7	13	6	9	4	108	2	7	4	7	12	15	10	43	4	1	3	3	8	3	6	3	7	29	4	7	2	0	56	0	0	4	4	4	48	14	21	4	2	4	4	2	0	11	9	3	7	7	3	2	7	1	5	6	2	0	16	0	7	2	3	2	7	3	2	6	2	8	4	0	13	8	12	2	3	1	45	10	1	29	10	2	3	21	10	1	5	17	1	11	6	14	7	1	18	5	5	3	5	2	89	10	7	3	4	17	5	6	4	0	0	4	7	3	3	8	13	3	4	1	3	6	1	1	12	13	10	13	2	0	0	31	22	1	6	6	0	2	27	5	5	3	2	19	0	14	9	5	6	3	6	2	3	33	11	14	7	0	7	5	30	20	0	4	2	4	2	4	25	10	11	6	2	0	3	6	3	2	1	6	1	6	26	21	9	4	8	4	4	5	2	3	2	4	1	13	0	9	65	9	5	58	18	6	6	8	55	18	2	25	2	18	10	6	11	13	2	7	10	10	7	2	5	6	24	6	5	14	8	3	2	2	4	6	41	17	18	10	4	21	4	0	7	7	1	20	12	6	3	6	12	13	2	3	18	2	1	3	11	5	19	11	20	7	35	12	14	7	10	6	7	5	9	16	2	4	9	20	2	2	12	4	4	2	2	23	1	162	8	8	16	9	4	5	3	0	1	3	5	6	31	4	17	3	1	5	3	3	4	4	1	4	24	45	1	9	6	11	7	4	4	8	3	18	12	5	10	8	8	4	0	1	1	38	3	0	9	25	8	10	4	2	10	4	39	3	5	9	11	5	6	31	16	2	1	19	3	6	2	4	1	3	12	2	2	6	4	16	12	2	5	23	2	14	16	3	18	54
Rod Shone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Our Podcast Could Be Your Life	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	17	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sonology	2	3	2	5	0	1	2	1	4	9	0	1	16	5	1	3	4	4	0	5	0	4	7	2	2	0	4	0	2	0	0	1	0	1	1	6	1	5	0	0	0	2	0	0	1	0	0	10	1	0	2	5	2	2	0	0	1	0	0	0	0	1	2	1	4	0	2	2	0	0	3	3	1	2	0	4	2	0	1	2	0	2	6	2	3	3	4	5	10	0	0	1	2	0	2	1	0	0	0	2	2	1	0	1	1	3	2	0	0	1	3	0	2	1	4	4	0	3	0	2	3	0	5	0	10	1	3	2	0	0	0	3	8	8	0	0	0	3	3	1	0	2	0	4	15	0	5	2	0	0	0	3	5	2	0	4	1	0	5	2	0	2	0	17	0	4	0	0	7	3	2	1	1	1	1	0	0	0	2	4	3	5	3	2	0	0	0	7	0	2	0	0	1	0	0	0	1	2	3	2	1	0	1	0	2	4	2	2	3	1	2	0	5	1	5	2	2	0	0	1	1	2	1	43	10	2	1	1	0	1	3	5	2	0	0	5	2	2	1	0	0	0	0	0	1	0	0	1	0	1	0	1	2	0	0	2	5	2	2	0	0	8	1	4	0	0	0	3	0	3	0	9	2	1	3	12	1	0	0	3	0	0	4	7	7	7	2	1	0	4	2	7	2	3	5	0	5	1	3	5	8	2	1	2	4	1	0	3	1	0	1	2	1	1	2	3	0	3	3	0	1	3	0	3	4	1	0	0	1	0	1	1	0	0	3	0	6	0	4	0	0	3	0	0	1	3	0	2	0	3	0	0	4	0	7	0	2	1	2	6	0	1	1	2	3	2	0	0	5	1	0	3	0	4	0	3	1	3	0	2	0	1	0	2	0	0	0	3	0	2	0	0	2	1	1	0	0	0	14	37	0	0	0	1	0	3	3	2	1	1	0	0	1	0	0	1	4	2	0	5	4	0	3	7	2	4	2	0	7	0	0	13	3	1	0	5	13	3	1	3	2	1	0	0	8	0	0	0	2	1	7	0	0	2	2	3	0	0	10	4	5	1	6	16	0	2	3	0	0	4	1	0	0	7	0	0	1	1	2	0	2	3	0	2	6	0	3	1	0	1	9	0	3	2	0	8	1	3	1	0	0
Pithy Title Here	4	0	3	21	25	8	6	4	21	26	0	18	38	25	0	2	29	3	25	13	1	9	3	7	0	1	16	5	4	9	3	26	2	1	2	5	4	40	1	18	0	3	2	2	3	19	1	3	3	2	3	7	0	0	33	2	0	0	25	1	0	2	30	10	5	6	6	1	2	1	3	0	10	17	4	3	2	2	2	7	1	3	5	13	3	2	1	23	7	4	15	2	11	0	2	6	0	1	6	1	1	1	1	5	1	9	1	5	5	2	1	0	9	24	9	9	2	0	6	2	14	0	1	18	9	1	10	3	4	4	1	4	7	10	14	3	1	5	5	0	0	6	5	5	0	2	24	1	3	0	2	16	0	1	3	5	9	0	48	3	4	1	2	10	0	5	1	0	2	0	4	1	3	0	3	2	0	1	4	5	11	21	2	10	14	3	4	5	6	15	2	1	4	0	0	2	1	1	2	32	20	3	5	0	0	3	7	5	1	9	4	3	19	3	3	1	4	0	0	4	5	3	10	33	2	4	10	3	1	0	2	0	3	13	3	1	9	14	2	1	0	10	5	0	7	0	2	7	4	17	1	8	2	2	2	6	5	13	0	5	7	10	23	1	6	3	8	5	10	7	3	15	9	1	5	2	2	4	7	3	4	3	3	12	6	9	2	5	13	12	4	4	7	5	2	0	4	2	5	9	1	0	1	15	4	5	2	3	3	1	2	2	3	12	4	14	5	22	10	4	1	8	6	5	27	2	1	10	8	2	4	5	4	10	15	3	10	0	11	6	2	27	1	6	4	1	3	4	0	1	0	6	14	0	2	0	0	16	4	7	7	0	1	1	3	0	12	1	12	2	0	3	5	3	3	7	17	13	2	11	0	6	2	3	3	4	2	14	0	27	21	1	1	5	2	3	5	2	15	5	3	2	3	6	3	1	12	0	9	3	8	18	1	7	0	0	6	1	3	5	0	0	1	12	2	12	6	5	23	0	3	7	12	4	1	30	12	3	6	7	3	3	5	2	3	6	4	0	3	4	15	26	4	2	2	5	4	1	7	12	7	4	6	2	0	5	5	9	1	21	3	1	0	2	1	4	13	0	1	2	13	7	1	1	2	4	4	8	27	4	15	15	18	1	26	0	6	10	18	5	2
turnitup!	1	0	0	10	7	2	0	0	1	6	0	5	1	3	1	2	0	1	2	0	1	1	3	0	1	0	0	4	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	1	2	0	17	0	3	0	1	0	1	2	0	0	2	0	2	0	0	0	0	2	0	3	0	0	0	3	0	0	0	0	0	5	2	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	1	2	1	0	4	1	0	0	0	1	1	1	0	1	0	0	1	1	1	2	0	1	0	0	0	0	1	3	0	2	0	0	1	1	0	0	2	0	0	0	2	0	1	1	1	0	0	1	11	0	0	3	0	1	0	3	1	3	0	0	1	1	2	2	0	0	0	0	2	0	1	0	0	0	0	0	1	0	4	1	1	0	0	1	0	0	0	1	2	4	0	2	2	0	1	0	2	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0	1	11	0	2	1	0	2	0	0	0	0	1	0	0	3	5	0	0	0	0	0	2	7	0	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0	0	1	1	0	2	1	0	3	3	2	1	0	0	0	1	4	1	3	1	0	1	0	2	0	0	0	1	2	2	0	0	1	0	0	3	0	0	1	2	0	1	3	0	2	4	1	0	1	0	0	0	0	0	0	0	1	4	1	1	2	1	0	0	1	1	0	0	0	0	1	0	3	1	5	2	0	0	5	0	0	7	0	1	2	0	2	0	0	0	1	0	0	2	1	1	0	3	5	4	2	0	2	0	0	0	1	0	3	1	0	2	1	1	0	2	0	1	3	0	0	1	0	0	2	0	0	4	0	1	4	0	1	0	0	1	0	0	1	3	2	4	0	0	0	4	0	1	4	0	0	10	5	2	1	0	1	0	1	0	0	0	1	4	1	0	0	0	2	1	1	0	3	1	2	4	3	0	0	7	0	0	2	0	2	0	6	3	1	1	0	1	0	0	2	1	3	0	0	1	1	0	3	0	1	0	0	1	0	0	0	1	2	0	0	1	0	0	0	1	1	2	0	1	0	0	0	2	6	2	2	3	1	0	0	1	3	4	0	0	0
F-Measure	0	0	1	4	0	0	2	1	2	1	2	2	6	0	0	4	12	0	3	1	0	1	3	0	0	1	3	6	0	5	0	3	3	0	4	1	1	3	0	0	1	0	0	0	2	0	1	0	0	1	0	7	0	2	2	1	3	0	3	1	0	2	3	1	3	0	2	1	0	0	1	0	1	3	2	1	1	1	0	0	0	0	2	5	4	0	9	2	5	0	6	0	1	1	0	0	0	0	1	0	0	1	0	2	1	1	0	1	3	1	0	0	1	0	2	0	8	0	1	1	2	0	6	0	1	1	1	0	0	0	10	0	2	2	0	0	3	0	0	0	0	1	1	1	0	1	4	0	1	1	0	7	0	0	0	0	4	0	7	1	0	1	2	1	0	0	0	4	0	2	2	0	0	2	1	0	1	0	0	4	0	3	1	1	0	1	0	0	3	1	0	0	0	0	0	0	1	1	2	4	3	4	5	0	3	1	2	7	0	5	0	12	6	1	5	1	0	0	0	3	1	0	3	8	0	5	1	0	0	2	2	0	3	1	3	0	0	1	1	0	0	1	2	0	0	0	0	2	1	2	0	2	0	2	2	5	0	2	2	0	0	3	0	1	0	0	1	1	8	2	0	1	1	0	0	1	2	1	0	2	2	0	0	5	0	0	0	0	1	2	0	0	0	0	2	3	0	0	0	2	0	0	1	3	3	0	0	0	0	3	1	0	0	2	0	0	0	4	2	0	0	4	4	1	3	0	4	1	1	1	3	1	0	0	3	1	1	0	0	0	0	9	0	1	0	0	0	2	1	0	1	0	3	0	2	0	0	3	5	0	1	0	5	0	1	1	2	0	2	2	1	1	0	1	0	1	1	1	0	1	0	1	0	3	0	1	2	2	0	2	4	8	0	2	0	0	6	1	1	4	9	2	0	5	0	0	1	0	1	1	0	2	1	0	1	0	0	0	0	1	0	0	0	3	0	2	0	0	7	1	0	13	1	0	0	2	8	0	0	0	0	2	1	0	0	0	1	0	0	0	4	0	1	1	1	3	4	0	1	1	1	6	8	1	0	0	1	0	0	5	0	0	0	0	3	3	0	0	0	4	0	10	0	7	1	0	0	0	2	0	11	5	0	2	2	0	1	3	1	2	0
Riley Haas' blog	0	0	1	4	1	0	0	0	4	1	0	0	6	1	0	1	8	2	1	3	0	0	0	0	0	0	5	0	1	0	0	6	1	0	0	0	2	6	0	6	0	0	0	0	0	0	0	0	1	1	0	5	0	2	1	0	2	0	6	0	2	0	17	4	1	0	0	0	0	1	0	2	3	1	0	1	1	0	0	0	24	2	1	3	1	0	0	0	9	0	3	0	1	1	0	0	1	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0	0	3	4	0	3	0	4	0	1	0	0	1	1	0	2	0	1	0	0	3	0	1	0	0	0	4	1	1	0	1	0	1	0	4	3	2	6	0	1	3	0	0	0	1	0	0	24	10	0	0	0	0	0	1	0	0	3	0	2	2	8	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	3	0	0	0	1	0	3	0	1	1	2	1	1	0	2	0	1	0	7	0	2	0	0	16	0	2	0	0	0	0	0	0	0	3	12	2	1	0	0	0	6	2	0	0	0	1	0	0	1	4	0	0	0	2	0	0	0	1	0	0	2	0	0	0	0	0	5	0	0	0	0	0	13	1	0	0	0	1	0	1	1	0	2	0	0	3	1	1	2	3	0	4	0	1	6	3	5	0	0	4	1	2	0	8	1	0	1	1	0	1	4	0	1	0	0	2	1	0	0	0	2	1	1	3	1	0	1	0	11	0	0	0	0	1	0	2	1	1	0	2	0	0	0	0	0	4	0	0	0	2	0	2	6	1	0	0	2	1	4	0	0	2	0	2	0	0	1	0	3	5	2	1	0	0	0	1	1	2	0	2	0	0	0	2	2	3	0	2	5	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	2	3	0	0	3	1	0	7	0	1	9	0	2	0	1	2	0	0	0	0	8	0	1	0	3	9	3	0	0	9	0	0	0	3	1	3	1	9	0	1	4	1	1	2	2	0	2	2	0	0	0	7	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	2	5	1	0	1	0	3	0	2	0	2	0	4	0	2	2	1	5	14	5	0
